scientific-name,family-name,abundance
Ophioglossum lusitanicum,Ophioglossacées,R
Ophioglossum vulgatum,Ophioglossacées,RRR
Asplenium hemionitis,Polypodiacées,RR
Phyllitis hemionitis,Polypodiacées,AR
Gymnogramma leptophylla,Polypodiacées,C
Notholaena vellea,Polypodiacées,AC
Adiantum capillus-veneris,Polypodiacées,AC
Pteridium aquilinum,Polypodiacées,C
Pteris longifolia,Polypodiacées,R
Polypodium vulgare,Polypodiacées,CC
Marsilea strigosa var. pubescens,Marsileacées,R
Pilularia minuta,Marsileacées,RR
Isoetes velata ssp. typica,Isoetacées,AC
Isoetes duriaei,Isoetacées,R
Isoetes hystrix,Isoetacées,AC
Selaginella denticulata,Selaginellacées,CC
Equisetum maximum,Equisetacées,AC
Callitris articulata,Cupressacées,CC
Juniperus oxycedrus ssp. macrocarpa,Cupressacées,C
Juniperus phoenica,Cupressacées,C
Pinus halepensis,Pinacées,CC
Ephedra altissima,Ephedracées,C
Ephedra major,Ephedracées,AC
Typha angustifolia ssp. australis,Typhacées,CC
Sparganium erectum ssp. neglectum,Sparganiacées,AC
Zostera nana,Zosteracées,C
Zostera marina,Zosteracées,RRR
Posidonia oceanica,Posidoniacées,CC
Potamogeton densus,Potamogetonacées,AC
Potamogeton coloratus,Potamogetonacées,R
Potamogeton natans,Potamogetonacées,R
Potamogeton nodosus,Potamogetonacées,CC
Potamogeton pectinatus,Potamogetonacées,AC
Potamogeton trichoides var. tuberculosu,Potamogetonacées,AR
Ruppia maritima ssp. rostellata,Ruppiacées,AC
Ruppia maritima ssp. drepanensis,Ruppiacées,AC
Zannichellia palustris ssp. genuina,Zannichelliacées,AC
Cymodocea nodosa,Zannichelliacées,CC
Najas minor,Najadacées,R
Triglochin laxiflora,Juncaginacées,C
Triglochin bulbosa,Juncaginacées,AC
AIisma plantago-aquatica,Alismatacées,CC
Echinodorus ranunculoides,Alismatacées,CC
Damasonium alisma ssp. bourgei,Alismatacées,AC
Sorghum halepense,Graminées,C
Andropogon distachyus,Graminées,R
Hyparrhenia hirta,Graminées,CC
Heteropogon contortus var. glaber,Graminées,RR
Themeda triandra,Graminées,R
Digitaria sanguinalis,Graminées,CC
Paspalum distichum ssp. paspalodes,Graminées,R
Echinochloa crus-galli,Graminées,C
Echinochloa colona,Graminées,C
Panicum repens,Graminées,C
Setaria verticillata ssp. verticillata,Graminées,C
Setaria viridis,Graminées,C
Leersia hexandra,Graminées,R
Phalaris truncata,Graminées,AC
Phalaris caerulescens,Graminées,C
Phalaris bulbosa,Graminées,C
Phalaris canariensis,Graminées,C
Phalaris brachystachys,Graminées,C
Phalaris minor,Graminées,C
Phalaris paradoxa,Graminées,C
Anthoxanthum odoratum ssp. eu-odoratum,Graminées,C
Anthoxanthum odoratum ssp. ovatum,Graminées,C
Aristida caerulescens,Graminées,CC
Stipa retorta,Graminées,C
Stipa barbata,Graminées,C
Oryzopsis miliacea,Graminées,C
Oryzopsis caerulescens,Graminées,C
Crypsis aculeata,Graminées,AC
Crypsis schoenoides,Graminées,C
Crypsis alopecuroides,Graminées,AR
Alopecurus myosuroides,Graminées,C
Alopecurus utriculatus,Graminées,C
Alopecurus bulbosus ssp. macrostachyus,Graminées,AC
Phleum pratense ssp. nodosum,Graminées,AC
Mibora minima,Graminées,RR
Agrostis elegans,Graminées,R
Agrostis salmantica,Graminées,C
Agrostis reuteri,Graminées,C
Agrostis semiverticillata,Graminées,C
Agrostis stolonifera ssp. gigantea,Graminées,RR
Agrostis stolonifera ssp. scabriglumis,Graminées,AC
Gastridium scabrum,Graminées,CC
Gastridium ventricosnm,Graminées,AC
Polypogon monspeliensis,Graminées,CC
Polypogon maritimum ssp. eu-maritimus,Graminées,C
X. Polypogonagrostis adscendens,Graminées,RR
Lagurus ovatus,Graminées,CC
Ammophila arenaria var. arundinacea,Graminées,C
Eragrostis cilianensis ssp. major,Graminées,C
Cynodon dactylon,Graminées,C
Spartina patens,Graminées,AR
Arundo plinii,Graminées,AC
Arundo donax,Graminées,C
Phragmites communis,Graminées,C
Ampelodesma mauritanicum,Graminées,CC
Holcus lanatus,Graminées,C
