scientific-name,family-name,abundance
Gymnogramma leptophylla,Polypodiacées,C
Notholaena vellea,Polypodiacées,AC
Adiantum capillus-veneris,Polypodiacées,AC
Pteridium aquilinum,Polypodiacées,C
Polypodium vulgare,Polypodiacées,CC
Marsilea strigosa var. pubescens,Marsileacées,R
Isoetes velata ssp. typica,Isoetacées,AC
Isoetes hystrix,Isoetacées,AC
Selaginella denticulata,Selaginellacées,CC
Equisetum maximum,Equisetacées,AC
Callitris articulata,Cupressacées,CC
Pinus halepensis,Pinacées,CC
Ephedra altissima,Ephedracées,C
Typha angustifolia ssp. australis,Typhacées,CC
Potamogeton nodosus,Potamogetonacées,CC
Potamogeton pectinatus,Potamogetonacées,AC
Ruppia maritima ssp. rostellata,Ruppiacées,AC
Ruppia maritima ssp. brevirostris,Ruppiacées,AC
Ruppia maritima ssp. drepanensis,Ruppiacées,AC
Zannichellia palustris ssp. genuina,Zannichelliacées,AC
Althenia filiformis ssp. eu-filiformis,Zannichelliacées,R
AIisma plantago-aquatica,Alismatacées,CC
Echinodorus ranunculoides,Alismatacées,CC
Damasonium alisma ssp. bourgei,Alismatacées,AC
Damasonium polyspermum var. eu-polyspermum,Alismatacées,RR
Hemarthria compressa ssp. altissima,Graminées,R
Sorghum halepense,Graminées,C
Hyparrhenia hirta,Graminées,CC
Echinochloa crus-galli,Graminées,C
Echinochloa colona,Graminées,C
Panicum repens,Graminées,C
Setaria verticillata ssp. verticillata,Graminées,C
Setaria lutescens,Graminées,AR
Setaria viridis,Graminées,C
Lygeum spartum,Graminées,C
Phalaris truncata,Graminées,AC
Phalaris caerulescens,Graminées,C
Phalaris bulbosa,Graminées,C
Phalaris canariensis,Graminées,C
Phalaris brachystachys,Graminées,C
Phalaris minor,Graminées,C
Phalaris paradoxa,Graminées,C
Anthoxanthum odoratum ssp. ovatum,Graminées,C
Aristida caerulescens,Graminées,CC
Stipa retorta,Graminées,C
Stipa barbata,Graminées,C
Oryzopsis miliacea,Graminées,C
Oryzopsis caerulescens,Graminées,C
Crypsis aculeata,Graminées,AC
Crypsis schoenoides,Graminées,C
Alopecurus pratensis ssp. brachystachys,Graminées,R
Phleum pratense ssp. nodosum,Graminées,AC
Agrostis salmantica,Graminées,C
Agrostis reuteri,Graminées,C
Agrostis semiverticillata,Graminées,C
Agrostis stolonifera ssp. gaditana,Graminées,R
Gastridium scabrum,Graminées,CC
Gastridium ventricosnm,Graminées,AC
Lagurus ovatus,Graminées,CC
Eragrostis cilianensis ssp. major,Graminées,C
Cynodon dactylon,Graminées,C
Arundo plinii,Graminées,AC
Arundo donax,Graminées,C
Phragmites communis,Graminées,C
Ampelodesma mauritanicum,Graminées,CC
Holcus lanatus,Graminées,C
Corynephorus articulatus ssp. eu-articulatus,Graminées,AC
Trisetaria flavescens ssp. pratensis,Graminées,AC
Avena alba,Graminées,CC
Avena sterilis ssp. macrocarpa,Graminées,CC
Avena sterilis ssp. ludoviciana,Graminées,CC
Arrhenatherum elatius ssp. erianthum,Graminées,AC
Gaudinia fragilis ssp. eu-fragilis,Graminées,AC
Koeleria vallesiana,Graminées,AC
Koeleria phleoides,Graminées,CCC
Avellinia michelii,Graminées,C
Aira cupaniana var. genuina,Graminées,C
Aira cupaniana var. divaricata,Graminées,C
Periballia minuta,Graminées,C
Schismus barbatus ssp. calycinus,Graminées,C
Echinaria capitata,Graminées,C
Melica minuta ssp. eu-minuta,Graminées,C
Melica minuta ssp. major,Graminées,C
Melica ciliata,Graminées,C
Sphenopus divaricatus,Graminées,AC
Cutandia divaricata,Graminées,C
Scleropoa rigida,Graminées,CC
Cynosurus polybracteatus,Graminées,C
Cynosurus elegans ssp. aurasiacus,Graminées,C
Cynosurus elegans ssp. obliquatus,Graminées,C
Lamarckia aurea,Graminées,CC
Dactylis glomerata,Graminées,C
AEluropus iittoraiis,Graminées,C
Poa trivialis,Graminées,C
Poa bulbosa ssp. eu-bulbosa,Graminées,C
Poa annua ssp exilis,Graminées,C
Poa annua ssp. typica,Graminées,C
Briza maxima,Graminées,C
Briza minor,Graminées,C
Glyceria fluitans ssp. plicata,Graminées,RR
Puccinellia distans ssp. eu-distans,Graminées,C
Puccinellia distans ssp. tenuifolia,Graminées,R
Puccinellia distans ssp. festuciformis,Graminées,R
Festuca caerulescens,Graminées,CC
Festuca elatior ssp. pratensis,Graminées,RR
Vulpia sicula var. setacca,Graminées,C
Vulpia alopecuros ssp. fibros,Graminées,AC
Vulpia ciliata,Graminées,C
Vulpia geniculata,Graminées,C
Vulpia myuros ssp. pseudo-myuros,Graminées,C
Vulpia myuros ssp. sciuroides,Graminées,C
Vulpia ligustica,Graminées,C
Catapodium tuberculosum,Graminées,AC
Nardurus maritimus,Graminées,AR
Bromus erectus,Graminées,AC
Bromus rigidus ssp. maximus,Graminées,CC
Bromus rigidus ssp. gussonii,Graminées,C
Bromus tectorum,Graminées,C
Bromus madritensis ssp. delilei,Graminées,RR
