scientific-name,family-name,abundance
Cystopteris filix-fragilis,Polypodiacées,C
Dryopteris filix-mas,Polypodiacées,RR
Asplenium ruta-muraria,Polypodiacées,RR
Adiantum capillus-veneris,Polypodiacées,AC
Taxus baccata,Taxacées,AR
Juniperus communis,Cupressacées,R
Juniperus phoenica,Cupressacées,C
Juniperus thurifera var. africana,Cupressacées,AR
Cedrus libanotica ssp. atlantica,Pinacées,AC
Pinus halepensis,Pinacées,CC
Ephedra altissima,Ephedracées,C
Typha angustifolia ssp. australis,Typhacées,CC
Potamogeton densus,Potamogetonacées,AC
Ruppia maritima ssp. rostellata,Ruppiacées,AC
Ruppia maritima ssp. drepanensis,Ruppiacées,AC
Zannichellia palustris ssp. genuina,Zannichelliacées,AC
Chrysopogon aucheri,Graminées,RR
Hyparrhenia hirta,Graminées,CC
Digitaria sanguinalis,Graminées,CC
Echinochloa crus-galli,Graminées,C
Echinochloa colona,Graminées,C
Setaria verticillata ssp. verticillata,Graminées,C
Cenchrus ciliaris,Graminées,AR
Phalaris brachystachys,Graminées,C
Phalaris minor,Graminées,C
Aristida caerulescens,Graminées,CC
Aristida ciiiata,Graminées,AC
Aristida sahelica,Graminées,AC
Aristida plumosa ssp. eu-plumosa,Graminées,CC
Aristida plumosa ssp. lanuginosa,Graminées,AR
Stipa retorta,Graminées,C
Stipa pennata ssp. mediterranea,Graminées,R
Stipa barbata,Graminées,C
Oryzopsis miliacea,Graminées,C
Oryzopsis caerulescens,Graminées,C
Oryzopsis paradoxa var. eriolemma,Graminées,C
Milium vernale ssp. montianum,Graminées,C
Alopecurus pratensis ssp. brachystachys,Graminées,R
Agrostis stolonifera ssp. scabriglumis,Graminées,AC
Apera interrupta,Graminées,RR
Oropetium africanum,Graminées,R
Cynodon dactylon,Graminées,C
Phragmites communis,Graminées,C
Trisetaria panicea,Graminées,R
Avena macrostachya,Graminées,AR
Avena bromoides ssp. australis,Graminées,R
Avena alba,Graminées,CC
Avena sterilis ssp. macrocarpa,Graminées,CC
Avena sterilis ssp. ludoviciana,Graminées,CC
Koeleria splendens ssp. caudata,Graminées,AR
Koeleria phleoides,Graminées,CCC
Ammochloa palaestina,Graminées,AR
Melica cupani,Graminées,AC
Cutandia divaricata,Graminées,C
Cutandia dichotoma var. dichotoma,Graminées,C
Cutandia dichotoma var. memphitica,Graminées,C
Vulpiella stipoides,Graminées,C
Cynosurus baiansae,Graminées,AC
Cynosurus elegans ssp. aurasiacus,Graminées,C
Cynosurus elegans ssp. obliquatus,Graminées,C
Dactylis glomerata,Graminées,C
AEluropus iittoraiis,Graminées,C
Wangenheimia lima,Graminées,AC
Poa flaccidula,Graminées,R
Poa annua ssp. typica,Graminées,C
Puccinellia distans ssp. eu-distans,Graminées,C
Festuca atlantica var. eu-atlantica,Graminées,AC
Festuca algeriensis,Graminées,R
Festuca ovina ssp. frigida,Graminées,R
Festuca ovina ssp. laevis,Graminées,R
Festuca ovina ssp. indigesta,Graminées,RR
Festuca ovina ssp. sulcata,Graminées,AR
Catapodium tuberculosum,Graminées,AC
Nardurus cynosuroides,Graminées,AC
Nardurus maritimus,Graminées,AR
Bromus erectus,Graminées,AC
Bromus sterilis,Graminées,AC
Bromus rubens ssp. eu-rubens,Graminées,AC
Brachypodium distachyum,Graminées,CC
Brachypodium phoenicoides,Graminées,C
Lolium perenne,Graminées,C
Lolium rigidum,Graminées,C
Lolium multiflorum ssp. gaudini,Graminées,CC
Agropyron orientale ssp. eu-orientale,Graminées,AC
Agropyron pallormitanum var. hispanicum,Graminées,R
Dasypyrum hordeaceum,Graminées,AC
Hordeum nodosum,Graminées,R
Hordeum maritimum ssp. gussoneanum var. incertum,Graminées,C
Hordeum murinum ssp. leporinum,Graminées,CC
Cyperus laevigatus ssp. distachyos,Cyperacées,AC
Cyperus rotundus ssp. eu-rotundus,Cyperacées,C
Scirpus holoschoenus,Cyperacées,CC
Scirpus maritimus,Cyperacées,CC
Schoenus nigricans,Cyperacées,AC
Carex divisa,Cyperacées,C
Carex hirta,Cyperacées,RR
Carex hordcistichos,Cyperacées,R
Phoenix dactylifera,Palmées,C
Juncus maritimus,Juncacées,CC
Juncus valvatus,Juncacées,R
Juncus bufonius ssp. eu-bufonius,Juncacées,AC
Asphodelus microcarpus,Liliacées,CC
Asphodelus fistulosus,Liliacées,AR
Asphodelus tenuifolius,Liliacées,C
Asphodeline lutea,Liliacées,C
Anthericum liliago ssp. algeriense,Liliacées,AC
Tulipa sylvestris ssp. australis,Liliacées,CC
Gagea reticulata ssp. eu-reticulata var. africa,Liliacées,AR
Gagea granatelli ssp. eu-granatelli,Liliacées,C
Gagea foliosa ssp. eu-foliosa,Liliacées,AC
Scilla peruviana,Liliacées,C
Urginea noctiftora ssp. heliophylla,Liliacées,AC
Urginea fugax,Liliacées,C
Dipcadi serotinum ssp. lividum,Liliacées,C
Ornithogalum umbellatum ssp. orthophyllum,Liliacées,C
Ornithogalum pyramidale ssp. narbonense,Liliacées,AC
Muscari comosum,Liliacées,AC
Ruscus aculeatus,Liliacées,C
Asparagus stipularis var. horridus,Liliacées,AC
Smilax aspera var. altissima,Liliacées,CC
Allium cupani,Liliacées,C
Allium paniculatum var. typicum,Liliacées,C
Allium sphaerocephalum,Liliacées,AC
Allium pardoi,Liliacées,R
Allium ampeloprasum ssp. eu-empeloprasum,Liliacées,AC
Gladiolus byzantinus,Iridacées,C
Iris sisyrinchium,Iridacées,C
Iris xiphium,Iridacées,C
Romulea vaillantii,Iridacées,RR
Romulea bulbocodiuni ssp. eu-bulbocodium,Iridacées,C
Ophrys scolopax,Orchidacées,C
Ophrys lutea,Orchidacées,C
Orchis purpurea,Orchidacées,R
Orchis laxiflora,Orchidacées,
Serapias anthropophorum,Orchidacées,C
Epipactis helleborine var. platyphylla,Orchidacées,R
Cephalanthera damasonium,Orchidacées,RR
Populus euphratica var. mauritanîca,Salicacées,RR
Populus nigra,Salicacées,R
Populus alba,Salicacées,CC
Salix purpurea,Salicacées,AC
Salix pedicellata,Salicacées,CC
Rumex tingitanus,Polygonacées,AC
Rumex bucephalophorus ssp. gallicus,Polygonacées,C
Rumex vesicarius,Polygonacées,RR
Rumex conglomeratus,Polygonacées,CC
Forskohlea tenacissima,Urticacées,RR
Parietaria lusitanica,Urticacées,R
Viscum album,Loranthacées,RR
Arceuthobium oxycedri,Loranthacées,AR
Atriplex halimus,Chenopodiacées,C
Oreobliton thesioides,Chenopodiacées,C
Chenopodium foliosum,Chenopodiacées,AC
Chenopodium murale,Chenopodiacées,C
Arthrocnemum indicumm,Chenopodiacées,C
Salicornia arabica var. typica,Chenopodiacées,CC
Anabasis oropediorum,Chenopodiacées,AC
Polycnemum fontanesii,Chenopodiacées,R
Suaeda fruticosa,Chenopodiacées,C
Salsola longifolia,Chenopodiacées,AC
Salsola vermiculata,Chenopodiacées,C
Portulaca oleracea ssp. silvestris,Portulacacées,C
Corrigiola littoralis ssp. littoralis,Caryophyllacées,AC
Corrigiola littoralis ssp. telephiifolia,Caryophyllacées,AC
Pteranthus dichotomus,Caryophyllacées,AC
Herniaria incana,Caryophyllacées,AR
Herniaria glabra,Caryophyllacées,AC
Herniaria hirsuta var. cinerea,Caryophyllacées,AC
Herniaria fontanesii,Caryophyllacées,AC
Herniaria hemistemon,Caryophyllacées,R
Paronychia arabica ssp. cossoniana,Caryophyllacées,C
Paronychia argentea,Caryophyllacées,C
Paronychia capitata ssp. chlorothyrsa,Caryophyllacées,C
Loefflingia hispanica ssp. eu-hispanica,Caryophyllacées,AC
Telephium imperati,Caryophyllacées,AC
Polycarpon polycarpoides ssp. bivonae,Caryophyllacées,CC
Spergularia marginata ssp. sauvagei,Caryophyllacées,AC
Spergularia salina ssp. typica,Caryophyllacées,C
Spergularia diandra,Caryophyllacées,CC
Spergularia bocconei(a),Caryophyllacées,CC
Buffonia tenuifolia,Alsinoidées,AC
Buffonia chevallieri,Alsinoidées,RR
Buffonia duvaljouvii,Alsinoidées,RR
Minuartia geniculata,Alsinoidées,C
Minuartia mutabilis,Alsinoidées,AR
Minuartia tenuifolia,Alsinoidées,C
Minuartia campestris,Alsinoidées,AC
Minuartia montana,Alsinoidées,AC
Sagina apetala,Alsinoidées,C
Holosteum umbellatum,Alsinoidées,C
Cerastium gibraltaricum,Alsinoidées,AR
Cerastium dichotomum,Alsinoidées,AC
Cerastium pentandrum ssp. tetrandrum,Alsinoidées,AC
Cerastium glomeratum,Alsinoidées,C
Cerastium brachypetalum ssp. luridum,Alsinoidées,R
Arenaria aggregata ssp. mauritanica,Alsinoidées,R
Silene cucubalus ssp. angustifolia,Silenoidées,C
Silene atlantica,Silenoidées,AC
Silene apetala,Silenoidées,AR
Silene secundiflora,Silenoidées,R
Silene setacea ssp. eu-setacea,Silenoidées,C
Silene oropediorum,Silenoidées,AR
Silene claryi,Silenoidées,RR
Silene muscipula ssp. deserticola,Silenoidées,AC
Saponaria giutinosa,Silenoidées,R
Dianthus crinitus,Silenoidées,AR
Dianthus caryophyllus ssp. virgineus,Silenoidées,CC
Clematis flammula,Renonculacées,R
Delphinium pubescens,Renonculacées,AC
Delphinium balansae,Renonculacées,R
Adonis dentata,Renonculacées,C
Ceratocephalus falcatus ssp. falcatus,Renonculacées,R
Ceratocephalus falcatus ssp. incurvus,Renonculacées,AC
Ranunculus aquatilis,Renonculacées,C
Ranunculus gramineus,Renonculacées,AC
Ranunculus sardous ssp. trilobus,Renonculacées,C
Ranunculus arvensis,Renonculacées,C
Ranunculus rectirostris,Renonculacées,R
Ranunculus paludosus,Renonculacées,C
Papaver hybridum,Papaveracées,C
Papaver argemone,Papaveracées,R
Papaver rhoeas,Papaveracées,C
Papaver dubium ssp. eu-dubium,Papaveracées,C
Hypecoum pendulum,Papaveracées,C
Hypecoum geslini,Papaveracées,AC
Hypecoum procumbens ssp. procumbens,Papaveracées,C
Roemeria hybrida,Papaveracées,AC
Glaucium corniculatum,Papaveracées,C
Rupicapnos numidicus,Fumariacées,AC
Platycapnos spicatus,Fumariacées,R
Fumaria capreolata,Fumariacées,C
Fumaria parviflora,Fumariacées,C
Fumaria officinalis,Fumariacées,C
Cleome arabica ssp. arabica,Capparidacées,CC
Capparis spinosa,Capparidacées,AC
Farsetia aegyptiaca,Crucifères,C
Farsetia hamiltoni,Crucifères,AC
Clypeola cyclodontea,Crucifères,AC
Crambe kralikii,Crucifères,R
Muricaria prostrata,Crucifères,C
Boreava aptera,Crucifères,R
Didesmus bipinnatus,Crucifères,AC
BiscutelIa auriculata ssp. auriculata,Crucifères,AC
BiscutelIa didyma,Crucifères,CC
Iberis odorata,Crucifères,AC
Zilla spinosa ssp. macroptera,Crucifères,C
Alyssum cochleatum,Crucifères,AR
Alyssum montanum,Crucifères,AC
Alyssum alpestre ssp. serpyllifolium,Crucifères,AR
Alyssum scutigerum,Crucifères,R
Alyssum granatense,Crucifères,C
Alyssum linifolium,Crucifères,AR
Lobularia maritima,Crucifères,C
Capsella bursa-pastoris ssp. bursa,Crucifères,C
Capsella bursa-pastoris ssp. rubella,Crucifères,C
Hutchinsia procumbens,Crucifères,AC
Hutchinsia petraea,Crucifères,AR
Enarthrocarpus clavatus,Crucifères,AC
Raffenaldia primuloides,Crucifères,R
Eruca vesicaria ssp. vesicaria,Crucifères,C
Eruca vesicaria ssp. pinnatifida,Crucifères,C
Eruca loncholoma,Crucifères,AR
Hirschfeldia incana ssp. adpressa,Crucifères,AC
Diplotaxis harra,Crucifères,C
Diplotaxis virgata ssp. cossoniana,Crucifères,R
Diplotaxis muralis,Crucifères,C
Sinapis pubescens ssp. pubescens,Crucifères,C
Brassica dimorpha,Crucifères,R
