scientific-name,family-name,abundance
Ophioglossum lusitanicum,Ophioglossacées,R
Asplenium petrarchae,Polypodiacées,R
Asplenium obovatum,Polypodiacées,AR
Gymnogramma leptophylla,Polypodiacées,C
Notholaena vellea,Polypodiacées,AC
Adiantum capillus-veneris,Polypodiacées,AC
Pteridium aquilinum,Polypodiacées,C
Polypodium vulgare,Polypodiacées,CC
Marsilea strigosa var. pubescens,Marsileacées,R
Pilularia minuta,Marsileacées,RR
Isoetes velata ssp. adspersa,Isoetacées,R
Isoetes velata ssp. intermedia,Isoetacées,RR
Isoetes velata ssp. typica,Isoetacées,AC
Isoetes duriaei,Isoetacées,R
Isoetes hystrix,Isoetacées,AC
Selaginella denticulata,Selaginellacées,CC
Equisetum maximum,Equisetacées,AC
Juniperus oxycedrus ssp. macrocarpa,Cupressacées,C
Juniperus phoenica,Cupressacées,C
Pinus halepensis,Pinacées,CC
Ephedra altissima,Ephedracées,C
Ephedra major,Ephedracées,AC
Typha angustifolia ssp. australis,Typhacées,CC
Zostera nana,Zosteracées,C
Posidonia oceanica,Posidoniacées,CC
Potamogeton nodosus,Potamogetonacées,CC
Potamogeton pectinatus,Potamogetonacées,AC
Ruppia maritima ssp. rostellata,Ruppiacées,AC
Ruppia maritima ssp. drepanensis,Ruppiacées,AC
Zannichellia palustris ssp. genuina,Zannichelliacées,AC
Cymodocea nodosa,Zannichelliacées,CC
Najas arsenariensis,Najadacées,RRR
Triglochin laxiflora,Juncaginacées,C
Triglochin bulbosa,Juncaginacées,AC
AIisma plantago-aquatica,Alismatacées,CC
Echinodorus ranunculoides,Alismatacées,CC
Damasonium alisma ssp. bourgei,Alismatacées,AC
Damasonium polyspermum var. eu-polyspermum,Alismatacées,RR
Saccharum ravenae,Graminées,AC
Sorghum halepense,Graminées,C
Andropogon distachyus,Graminées,R
Hyparrhenia hirta,Graminées,CC
Digitaria sanguinalis,Graminées,CC
Paspalum distichum ssp. paspalodes,Graminées,R
Echinochloa crus-galli,Graminées,C
Echinochloa colona,Graminées,C
Panicum repens,Graminées,C
Setaria verticillata ssp. verticillata,Graminées,C
Setaria viridis,Graminées,C
Lygeum spartum,Graminées,C
Phalaris truncata,Graminées,AC
Phalaris caerulescens,Graminées,C
Phalaris bulbosa,Graminées,C
Phalaris canariensis,Graminées,C
Phalaris brachystachys,Graminées,C
Phalaris minor,Graminées,C
Phalaris paradoxa,Graminées,C
Anthoxanthum odoratum ssp. eu-odoratum,Graminées,C
Anthoxanthum odoratum ssp. ovatum,Graminées,C
Aristida caerulescens,Graminées,CC
Stipa retorta,Graminées,C
Stipa barbata,Graminées,C
Stipa parviflora,Graminées,C
Stipa lagascae ssp. normalis,Graminées,C
Oryzopsis miliacea,Graminées,C
Oryzopsis caerulescens,Graminées,C
Crypsis aculeata,Graminées,AC
Crypsis schoenoides,Graminées,C
Alopecurus utriculatus,Graminées,C
